tweet_id,date,location,bounding_box,lang,text,important_tweet,emoji,hastag
1327940345674522624,Sun Nov 15 11:43:45 +0000 2020,"Dijon, Bourgogne",empty,fr,précarité femmes metier réagissons vite plans d'actions prendre urgente niveaux concernés,1,🚨,dijon
1327960832207155200,Sun Nov 15 13:05:09 +0000 2020,Camp du bien ,empty,fr,« prières rue » interdites qu’aux musulmans enfaite,1,,
1327960839031238656,Sun Nov 15 13:05:11 +0000 2020,,empty,fr,,1,,
1327960843263336452,Sun Nov 15 13:05:12 +0000 2020,France,empty,fr,ptdr convention 2021,1,🙃,
1327960845603704832,Sun Nov 15 13:05:12 +0000 2020,France,empty,fr,c'est dégueulasse ignoble bande salopards,1,,
1327595190345928705,Sat Nov 14 12:52:13 +0000 2020,,"{'type': 'Polygon', 'coordinates': [[[3.115995, 50.59901], [3.115995, 50.673255], [3.207747, 50.673255], [3.207747, 50.59901]]]}",fr,science medicale 2.0 critere succes faire avancer recherche medicale « influencer » bref faire buzz rassurons fin ecume disparu saura positif simplement,1,😤,covid19
1327960860598411265,Sun Nov 15 13:05:16 +0000 2020,Martinique,empty,fr,vache,1,,
1327960865262465026,Sun Nov 15 13:05:17 +0000 2020,,empty,fr,guignols c’était completists,1,😱😱😱😱😱😱😱😱,
1327960872476692480,Sun Nov 15 13:05:18 +0000 2020,,empty,fr,,1,,
1327960876687761410,Sun Nov 15 13:05:19 +0000 2020,Paris,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960878772314113,Sun Nov 15 13:05:20 +0000 2020,Konoha,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960881536307201,Sun Nov 15 13:05:21 +0000 2020,15e systeme solaire,empty,fr,,1,,
1327960885990715394,Sun Nov 15 13:05:22 +0000 2020,,empty,fr,30€ bonus patient déclaré debunk debunk,1,,covid19 holdupstoplapeur hold covid
1327960886749880321,Sun Nov 15 13:05:22 +0000 2020,,empty,fr,c’était suffisamment merde fallait remettre couche visiblement sens timing,1,,
1327687584349302787,Sat Nov 14 18:59:22 +0000 2020,France,empty,fr,devaient disant négocier partenaires sociaux informer rentrée c'est chose faite,1,,réformedesretraites
1327960897940303873,Sun Nov 15 13:05:25 +0000 2020,"Pas-de-Calais, Nord-Pas-de-Calais",empty,fr,servi cobayes consentement hôpitaux,1,,
1327960901782265859,Sun Nov 15 13:05:25 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960903887806464,Sun Nov 15 13:05:26 +0000 2020,France,empty,fr,bracelet citron bracelet distributeur gel hydroalcoolique,1,,covid19
1327960908514136066,Sun Nov 15 13:05:27 +0000 2020,Kim Taehyung's heart,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960924427268096,Sun Nov 15 13:05:31 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960935319941121,Sun Nov 15 13:05:33 +0000 2020,"Maubeuge, France",empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327960949177937921,Sun Nov 15 13:05:37 +0000 2020,France,empty,fr,j'imagine faire quête récupérer 135 balles fidèle,1,😂,
1327941027110547457,Sun Nov 15 11:46:27 +0000 2020,"Paris, France",empty,fr,"l'homme/la femme politique,qui levera dira mascarade hysterique vote like circuler ensemble votes forts peur changer camp",1,,monvote dictaturesanitaire lecovidcestpaslarea covid19
1327960966240333825,Sun Nov 15 13:05:41 +0000 2020,Dans le ZOO de l’IDF,empty,fr,beautés,1,🥵❤✝,
1327960978118598658,Sun Nov 15 13:05:44 +0000 2020,,empty,fr,pose,1,,covid19 pfizervaccine holdup
1327960986289123334,Sun Nov 15 13:05:46 +0000 2020,,empty,fr,,1,,
1327960987706777601,Sun Nov 15 13:05:46 +0000 2020,France,empty,fr,bracelet citron bracelet distributeur gel hydroalcoolique,1,,covid19
1327960990630211585,Sun Nov 15 13:05:47 +0000 2020,,empty,fr,c'est dégueulasse ignoble bande salopards,1,,
1325747464415162368,Mon Nov 09 10:30:01 +0000 2020,"Paris, France",empty,fr,reconfinement chatbots l'ia préserver santé mentale,1,,ia reconfinement santé covid19
1327960999090130945,Sun Nov 15 13:05:49 +0000 2020,Boite de nuit le Schroedinger,empty,fr,bonjour animaux compagnie abandonnés suite l'obligation d'une amie de…,1,,covid19
1327961010498572288,Sun Nov 15 13:05:51 +0000 2020,,empty,fr,chose tourne vraiment rond voir mal finir,1,☹,
1327961017847074816,Sun Nov 15 13:05:53 +0000 2020,,empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961017578610690,Sun Nov 15 13:05:53 +0000 2020,,empty,fr,c'est sûr france malade élus maires,1,,hidalgo hurmic doucet piolle
1327961036767571968,Sun Nov 15 13:05:58 +0000 2020,,empty,fr,est-il arrivé séquence issue nuit temps pourtant,1,,
1310859267973541888,Tue Sep 29 08:29:38 +0000 2020,"Paris, France",empty,fr,lire urgence hiver d'alexandre labruffe plongée angoissante dystopie chinoise naître chine qu'elle gagné guerre met scène délitement l'occident n'arrive contrôler virus,1,🎙,wuhan covid19
1327961045252661253,Sun Nov 15 13:06:00 +0000 2020,"Ile-de-France, France",empty,fr,n’ose imaginer réactions musulmans mosquée,1,,
1327961047676973056,Sun Nov 15 13:06:00 +0000 2020,Paris,empty,fr,l'icono classe journal out,1,,covid19 tourism
1327961055184744451,Sun Nov 15 13:06:02 +0000 2020,,empty,fr,pose,1,,covid19 pfizervaccine holdup
1327961060830306311,Sun Nov 15 13:06:03 +0000 2020,France NiouzesFr ,empty,fr,accusé d’avoir blanchi 300 millions d’un condamné 505…,2,🇺🇲,dollars cartel drogue américain
